"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
59,"A.J. Green",26,"SG","MIL",53,1601,2.8,12.3
447,"A.J. Lawson",25,"SG","TOR",13,109,5.3,16.2
404,"AJ Johnson",21,"SG","2TM",31,245,3.8,12.2
299,"Aaron Gordon",30,"PF","DEN",23,642,6.3,22.8
340,"Aaron Holiday",29,"PG","HOU",37,491,2,15.7
209,"Aaron Nesmith",26,"SF","IND",33,991,4.1,15.9
187,"Aaron Wiggins",27,"SG","OKC",45,1076,4.2,15.9
106,"Ace Bailey",19,"SF","UTA",52,1380,3.2,16.2
246,"Adem Bona",22,"C","PHI",50,826,5.1,9.5
166,"Ajay Mitchell",23,"SG","OKC",43,1129,3.8,19.3
261,"Al Horford",39,"C","GSW",37,783,6.8,13.6
282,"Alex Caruso",31,"SG","OKC",39,712,4,12.6
566,"Alex Chen",22,"PG","GSW",30,600,2,13.1
161,"Alex Sarr",20,"C","WAS",41,1156,6.9,21.9
451,"Alondes Williams",26,"SG","WAS",4,101,7.1,15.7
38,"Alperen Şengün",23,"C","HOU",51,1720,6.5,21.7
446,"Amari Williams",24,"PF","BOS",15,113,7.3,7
2,"Amen Thompson",23,"PG","HOU",56,2073,4.6,16.8
369,"Amir Coffey",28,"SG","2TM",36,373,2.8,10.3
240,"Andre Drummond",32,"C","PHI",44,868,9.6,12.4
421,"Andre Jackson Jr.",24,"SG","MIL",28,177,3.1,8.1
82,"Andrew Nembhard",26,"PG","IND",47,1489,2.7,19.8
42,"Andrew Wiggins",30,"SF","MIA",54,1684,3.8,18.6
111,"Anfernee Simons",26,"SG","2TM",55,1372,2.7,20.6
26,"Anthony Black",22,"PG","ORL",58,1815,3.7,18
303,"Anthony Davis",32,"PF","DAL",20,626,9.1,23.4
31,"Anthony Edwards",24,"SG","MIN",50,1778,4.6,30
372,"Anthony Gill",33,"PF","WAS",33,365,4.7,11.2
365,"Ariel Hukporti",23,"C","NYK",41,379,7.6,8
349,"Asa Newell",20,"PF","ATL",40,445,3.6,16.3
112,"Ausar Thompson",23,"SF","DET",53,1370,5.2,14.1
188,"Austin Reaves",27,"SG","LAL",32,1075,4.6,26.4
110,"Ayo Dosunmu",26,"SG","2TM",52,1373,3,19.8
52,"Bam Adebayo",28,"C","MIA",52,1628,9,21.3
252,"Baylor Scheierman",25,"SG","BOS",53,815,5.7,9.7
364,"Ben Saraf",19,"SG","BRK",22,384,2.7,10.5
191,"Ben Sheppard",24,"SG","IND",49,1067,4.3,11.6
186,"Bennedict Mathurin",23,"SF","2TM",34,1077,5.2,20.8
208,"Bilal Coulibaly",21,"SG","WAS",38,992,4.8,13.9
406,"Blake Wesley",22,"SG","POR",16,229,3.1,14
118,"Bobby Portis",30,"PF","MIL",55,1330,7.7,19.6
361,"Bogdan Bogdanović",33,"SG","LAC",18,389,4.3,12.8
269,"Bones Hyland",25,"PG","MIN",51,752,3.4,16.9
443,"Bradley Beal",32,"SG","LAC",6,121,0.9,14.6
367,"Branden Carlson",26,"C","OKC",35,376,6.5,16.3
58,"Brandin Podziemski",22,"SG","GSW",59,1605,5.5,16.3
12,"Brandon Ingram",28,"SF","TOR",57,1939,5.3,23.1
130,"Brandon Miller",23,"SF","CHO",43,1292,4.3,25
172,"Brandon Williams",26,"PG","DAL",50,1109,3.7,20.9
142,"Brice Sensabaugh",22,"SF","UTA",56,1238,3.7,20.9
411,"Bronny James",21,"SG","LAL",29,211,1.9,10.7
207,"Brook Lopez",37,"C","LAC",51,994,4.7,13.1
402,"Brooks Barnhizer",23,"SG","OKC",31,245,6.8,6.6
85,"Bruce Brown",29,"SG","DEN",59,1473,4.1,11.1
270,"Bryce McGowens",23,"SG","NOP",36,742,3,14.1
56,"Bub Carrington",20,"PG","WAS",58,1611,4.2,12.7
262,"Buddy Hield",33,"SG","2TM",45,773,3.8,16.5
43,"CJ McCollum",34,"PG","2TM",56,1676,3.3,22.5
30,"Cade Cunningham",24,"PG","DET",51,1782,4.9,26.2
206,"Caleb Love",24,"SG","POR",45,999,3.2,18.3
277,"Caleb Martin",30,"SF","DAL",50,720,5.1,9.1
363,"Cam Christie",20,"SG","LAC",39,387,4.6,12.1
123,"Cam Spencer",25,"SG","MEM",55,1314,3.3,16.8
279,"Cam Thomas",24,"SG","2TM",31,718,2.4,24.1
376,"Cam Whitmore",21,"SF","WAS",21,354,4,19.6
185,"Cameron Johnson",29,"SF","DEN",35,1077,3.4,13.7
260,"Caris LeVert",31,"SG","DET",40,783,2.5,14.2
565,"Carlos Ruiz",24,"SF","MIA",45,1200,4,15
348,"Carter Bryant",20,"PF","SAS",48,448,6.1,12.9
68,"Cason Wallace",22,"SG","OKC",57,1547,3,11.8
138,"Cedric Coward",22,"SG","MEM",48,1263,6.7,18.2
425,"Chaz Lanier",24,"SG","DET",20,171,2.5,13.1
73,"Chet Holmgren",23,"PF","OKC",52,1520,8.5,21.2
407,"Chris Paul",40,"PG","LAC",16,228,3.5,7.4
424,"Chris Youngblood",23,"SG","OKC",32,174,4.3,13.4
285,"Christian Braun",24,"SG","DEN",23,700,3.5,11.9
387,"Christian Koloko",25,"C","3TM",21,309,4.9,7
305,"Clint Capela",31,"C","HOU",52,616,7.2,10.8
239,"Coby White",25,"SG","2TM",31,875,4.3,22.9
230,"Cody Williams",21,"SG","UTA",45,903,2.8,10.4
329,"Cole Anthony",25,"PG","MIL",35,527,4.9,16
41,"Collin Gillespie",26,"PG","PHO",59,1694,3.9,17
197,"Collin Murray-Boyles",20,"PF","TOR",47,1046,4.1,12.6
168,"Collin Sexton",27,"SG","2TM",50,1119,2.3,22.2
45,"Cooper Flagg",19,"SF","DAL",49,1669,5.7,21.5
250,"Corey Kispert",26,"SF","2TM",40,817,3.7,17.6
223,"Craig Porter Jr.",25,"PG","CLE",52,917,4.1,9.3
337,"D'Angelo Russell",29,"PG","DAL",26,495,3.9,19.2
417,"DaRon Holmes",23,"PF","DEN",17,186,4.5,13.9
398,"Daeqwon Plowden",27,"SG","SAC",12,264,3,12.7
360,"Dalen Terry",23,"SG","2TM",37,392,4.3,11.3
338,"Dalton Knecht",24,"SF","LAL",44,494,3.9,14.3
237,"Daniel Gafford",27,"C","DAL",41,876,7.2,13.6
251,"Daniss Jenkins",24,"PG","DET",48,816,2.7,16.6
233,"Danny Wolf",21,"PF","BRK",44,891,6.4,14.9
257,"Darius Garland",26,"PG","CLE",26,792,2.3,21.2
567,"David Johnson",29,"C","CHI",70,2500,8.5,19.7
101,"Davion Mitchell",27,"PG","MIA",49,1408,2.8,11.1
199,"Day'Ron Sharpe",24,"C","BRK",56,1043,7.6,16.6
61,"De'Aaron Fox",28,"PG","SAS",50,1580,3.7,21.7
157,"De'Andre Hunter",28,"SF","2TM",45,1176,4.7,18.8
288,"De'Anthony Melton",27,"PG","GSW",31,688,3.8,20.6
10,"DeMar DeRozan",36,"PF","SAC",61,1945,2.9,20.7
180,"Dean Wade",29,"PF","CLE",48,1087,5.3,9.2
102,"Deandre Ayton",27,"C","LAL",50,1406,7.6,16.6
57,"Deni Avdija",25,"SF","POR",48,1608,6.4,26.3
139,"Dennis Schröder",32,"PG","2TM",49,1254,3.4,17.2
445,"Dereck Lively II",21,"C","DAL",7,115,7.2,9.4
74,"Derik Queen",21,"C","NOP",59,1518,7.8,17
289,"Derrick Jones Jr.",28,"SF","LAC",26,682,2.5,14.7
15,"Derrick White",31,"SG","BOS",56,1922,3.5,18
8,"Desmond Bane",27,"SG","ORL",58,1979,3.1,21.4
89,"Devin Booker",29,"SG","PHO",44,1467,3.4,26.7
383,"Devin Carter",23,"PG","SAC",23,334,4.2,16
103,"Devin Vassell",25,"SG","SAS",46,1406,3.9,16.9
72,"Dillon Brooks",30,"SF","PHO",50,1530,3.4,24.6
317,"Domantas Sabonis",29,"C","SAC",19,564,9.7,19.2
160,"Dominick Barlow",22,"PF","PHI",48,1162,4,12.2
75,"Donovan Clingan",21,"C","POR",55,1518,9,15.5
24,"Donovan Mitchell",29,"SG","CLE",55,1840,4,30.7
21,"Donte DiVincenzo",29,"SG","MIN",60,1867,4,14.9
359,"Dorian Finney-Smith",32,"PF","HOU",24,392,3.6,6.8
444,"Doug McDermott",34,"SF","SAC",12,116,2.5,16.1
232,"Drake Powell",20,"SG","BRK",47,894,2.6,11.3
135,"Draymond Green",35,"PF","GSW",48,1279,6.6,11.5
344,"Drew Eubanks",28,"C","SAC",36,475,5.1,13.7
433,"Drew Timme",25,"PF","LAL",18,150,3.6,15.1
211,"Dru Smith",28,"SG","MIA",58,979,3.6,12.6
69,"Duncan Robinson",31,"SF","DET",55,1539,2.9,15.9
399,"Duop Reath",29,"C","POR",32,258,3.9,13.1
318,"Dwight Powell",34,"C","DAL",42,563,5.9,7.4
306,"Dylan Cardwell",24,"C","SAC",29,616,7.7,9.1
194,"Dylan Harper",19,"SG","SAS",48,1059,4.4,18
13,"Dyson Daniels",22,"SG","ATL",58,1937,4.7,12.2
132,"Egor Dёmin",19,"PG","BRK",51,1287,4,14.9
448,"Elijah Harkless",25,"SG","UTA",10,108,3,10
366,"Ethan Thompson",26,"SG","IND",23,379,2.9,10.6
88,"Evan Mobley",24,"PF","CLE",45,1470,7,19.3
234,"Franz Wagner",24,"SF","ORL",28,891,4.8,24.1
276,"GG Jackson II",21,"PF","MEM",37,721,6.1,19.2
302,"Gabe Vincent",29,"PG","2TM",33,627,1.3,9
415,"Garrison Mathews",29,"SG","IND",15,196,2.8,14.3
320,"Gary Harris",31,"SG","MIL",39,559,2.6,6.2
272,"Gary Payton II",33,"SG","GSW",54,731,5.2,15.5
169,"Gary Trent Jr.",27,"SG","MIL",49,1117,1.5,12.7
238,"Giannis Antetokounmpo",31,"PF","MIL",30,876,8.9,34.5
290,"Goga Bitadze",26,"C","ORL",43,681,6.7,13.2
224,"Gradey Dick",22,"SG","TOR",58,916,3.6,14.3
373,"Grant Williams",27,"PF","CHO",18,363,5.2,13.4
163,"Grayson Allen",30,"SG","PHO",38,1148,2.9,20.9
312,"Guerschon Yabusele",30,"C","2TM",50,592,6.4,12.3
264,"Gui Santos",23,"PF","GSW",48,770,5.1,14.9
60,"Harrison Barnes",33,"PF","SAS",59,1594,2.7,13.7
190,"Herbert Jones",27,"SF","NOP",37,1069,3.2,11
254,"Hugo González",19,"SF","BOS",53,795,6,9.2
430,"Hunter Tyson",25,"PF","DEN",21,162,7.1,10.2
25,"Immanuel Quickley",26,"PG","TOR",56,1818,4.1,19.2
113,"Isaac Okoro",25,"SG","CHI",51,1357,2.2,12.5
125,"Isaiah Collier",21,"PG","UTA",51,1307,3,15.2
243,"Isaiah Hartenstein",27,"C","OKC",33,848,8.7,14.9
296,"Isaiah Jackson",24,"C","2TM",40,647,7,13.8
176,"Isaiah Joe",26,"SG","OKC",51,1092,3.5,18.2
384,"Isaiah Livers",27,"PF","PHO",32,331,4.5,7.1
170,"Isaiah Stewart",24,"C","DET",48,1116,5.5,15.5
119,"Ivica Zubac",28,"C","LAC",43,1328,8.8,16.8
418,"JD Davison",23,"PG","HOU",25,184,4.1,10.8
316,"Ja Morant",26,"PG","MEM",20,569,3.6,24.6
222,"Ja'Kobe Walter",21,"SG","TOR",49,922,3.2,12.7
7,"Jabari Smith Jr.",22,"PF","HOU",57,1985,5.5,16
309,"Jabari Walker",23,"PF","PHI",50,596,5.7,10.8
333,"Jaden Hardy",23,"SG","2TM",38,510,3.2,20.3
294,"Jaden Ivey",23,"SG","2TM",37,670,3.6,17
20,"Jaden McDaniels",25,"PF","MIN",58,1871,3.7,16.9
389,"Jae'Sean Tate",30,"SF","HOU",34,287,3.1,11.5
409,"Jahmai Mashack",23,"SG","MEM",15,218,3,10.2
62,"Jaime Jaquez Jr.",24,"SF","MIA",55,1574,5,18.9
71,"Jake LaRavia",24,"PF","LAL",58,1532,3.5,12.5
304,"Jakob Poeltl",30,"C","TOR",25,621,6.8,13.7
19,"Jalen Brunson",29,"PG","NYK",54,1874,3,27.7
126,"Jalen Duren",22,"C","DET",47,1307,8.8,23.6
405,"Jalen Green",23,"SG","PHO",12,242,4.2,23.1
16,"Jalen Johnson",24,"SF","ATL",54,1901,9.3,23.5
287,"Jalen Pickett",26,"SG","DEN",39,688,4.4,11.1
218,"Jalen Smith",25,"C","CHI",46,935,9.1,18.2
226,"Jalen Suggs",24,"PG","ORL",35,913,4.4,18.8
267,"Jalen Williams",24,"SG","OKC",26,755,5,21.7
323,"Jalen Wilson",25,"PF","BRK",38,541,3.5,13.6
436,"Jamal Cain",26,"SF","ORL",20,137,2.4,13.4
18,"Jamal Murray",28,"PG","DEN",54,1882,4.1,25.9
124,"Jamal Shead",23,"PG","TOR",59,1310,2.6,11.4
332,"Jamaree Bouyea",26,"PG","PHO",33,512,3.4,15
28,"James Harden",36,"PG","2TM",51,1784,4.3,25.2
321,"Jamir Watkins",24,"SG","WAS",30,559,5,11.1
375,"Jamison Battle",24,"SF","TOR",42,354,4.5,13.1
91,"Jarace Walker",22,"PF","IND",59,1455,6.2,15.9
263,"Jared McCain",21,"SG","2TM",45,772,4,15.8
92,"Jaren Jackson Jr.",26,"C","2TM",48,1454,5.7,23.1
229,"Jarred Vanderbilt",26,"PF","LAL",49,906,6.6,9.3
120,"Jarrett Allen",27,"C","CLE",48,1321,7.8,19.8
339,"Jase Richardson",20,"SG","ORL",42,491,2.5,14.8
358,"Javon Small",23,"PG","MEM",24,404,4,16.3
196,"Javonte Green",32,"SG","DET",57,1046,3.8,13.4
244,"Jaxson Hayes",25,"C","LAL",48,834,5.1,14.1
149,"Jay Huff",27,"C","IND",60,1217,5.1,15.8
29,"Jaylen Brown",29,"SF","BOS",52,1782,6.3,30.6
278,"Jaylen Clark",24,"SG","MIN",54,719,2.7,10.3
79,"Jaylen Wells",22,"SG","MEM",56,1501,3.3,16.5
236,"Jaylin Williams",23,"PF","OKC",45,879,8.4,12.6
77,"Jaylon Tyson",23,"SG","CLE",55,1507,4.6,17.7
131,"Jerami Grant",31,"PF","POR",44,1290,3.2,23.1
70,"Jeremiah Fears",19,"PG","NOP",60,1532,4.2,18.4
374,"Jeremiah Robinson-Earl",25,"PF","2TM",22,361,6.7,10.1
362,"Jeremy Sochan",22,"PF","2TM",32,388,4.8,10.9
280,"Jericho Sims",27,"C","MIL",43,714,6.8,8.6
354,"Jett Howard",22,"SF","ORL",38,426,3.6,15.4
370,"Jevon Carter",30,"PG","2TM",29,372,3.1,16.2
155,"Jimmy Butler",36,"SF","GSW",38,1182,3.7,23.1
413,"Joan Beringer",19,"PF","MIN",29,202,5,16.2
141,"Jock Landale",30,"C","2TM",54,1242,5,17.6
202,"Joel Embiid",31,"C","PHI",33,1029,6.4,30.7
84,"John Collins",28,"PF","LAC",53,1474,4.9,17.8
563,"John Doe",28,"SG","LAL",50,1500,3.2,20
311,"John Konchar",29,"SG","2TM",37,594,5.3,7.3
297,"Johnny Furphy",21,"SG","IND",35,643,6.8,10.1
292,"Jonas Valančiūnas",33,"C","DEN",47,675,9,22.5
334,"Jonathan Isaac",28,"PF","ORL",49,506,6.2,9.3
328,"Jonathan Kuminga",23,"PF","2TM",22,530,6.8,19.4
434,"Jonathan Mogbo",24,"PF","TOR",23,139,6.5,7.8
213,"Jordan Clarkson",33,"SG","NYK",52,964,1.8,17.4
153,"Jordan Goodwin",27,"PG","PHO",54,1206,4.6,14.4
335,"Jordan Hawkins",23,"SG","NOP",38,504,3.4,11.1
423,"Jordan McLaughlin",29,"PG","SAS",28,175,3.3,11.5
271,"Jordan Miller",26,"SF","LAC",37,737,3.9,16.4
256,"Jordan Poole",26,"PG","NOP",32,792,2.6,20.3
221,"Jordan Walsh",21,"PF","BOS",52,924,5.7,11.1
198,"Jose Alvarado",27,"PG","2TM",48,1045,4,13.4
150,"Josh Giddey",23,"PG","CHI",39,1215,7.9,20.5
310,"Josh Green",25,"SG","CHO",36,594,2.4,10.8
99,"Josh Hart",30,"SF","NYK",47,1428,7.2,14
326,"Josh Minott",23,"PF","2TM",34,531,5.3,13
184,"Josh Okogie",27,"SG","HOU",55,1079,3.1,9.8
235,"Jrue Holiday",35,"PG","POR",31,883,3.8,19.6
48,"Julian Champagnie",24,"SF","SAS",59,1646,6.4,14.7
379,"Julian Phillips",22,"SF","2TM",38,346,2.3,11.1
324,"Julian Strawther",23,"SG","DEN",36,540,4.5,17.1
6,"Julius Randle",31,"PF","MIN",60,2004,5.6,23.3
204,"Justin Champagnie",24,"SF","WAS",53,1011,6.7,14.8
308,"Justin Edwards",22,"SF","PHI",44,608,2.7,12
182,"Jusuf Nurkić",31,"C","UTA",41,1083,10.6,14.9
403,"KJ Simpson",23,"PG","2TM",16,245,3.8,13.1
378,"Kam Jones",23,"SG","IND",23,346,2.5,9.5
37,"Karl-Anthony Towns",30,"C","NYK",55,1723,9.9,22.9
298,"Karlo Matković",24,"PF","NOP",47,642,6.4,13.9
319,"Kasparas Jakučionis",19,"PG","MIA",33,561,3.8,11.8
96,"Kawhi Leonard",34,"SF","LAC",44,1441,5.9,30.8
346,"Keaton Wallace",26,"PG","ATL",43,468,3.5,12.2
255,"Keegan Murray",25,"PF","SAC",23,793,4.5,14.6
143,"Kel'el Ware",21,"C","MIA",56,1230,10.2,18.5
105,"Keldon Johnson",26,"SF","SAS",59,1384,5.9,20.2
388,"Kelly Olynyk",34,"C","SAS",33,302,4.9,13
152,"Kelly Oubre Jr.",30,"SF","PHI",37,1208,4.2,16
295,"Kenrich Williams",31,"PF","OKC",40,651,5.2,15.4
179,"Kentavious Caldwell-Pope",32,"SG","MEM",51,1088,3.5,14.2
215,"Keon Ellis",26,"SG","2TM",52,952,2.3,11.2
429,"Keshad Johnson",24,"SF","MIA",23,164,5.9,16
4,"Kevin Durant",37,"SF","HOU",55,2011,4.8,25.7
177,"Kevin Huerter",27,"SF","2TM",49,1092,5,16.4
322,"Kevin Love",37,"PF","UTA",32,550,9.1,14.3
440,"Kevin McCullar Jr.",24,"SF","NYK",16,123,4.4,10
183,"Kevin Porter Jr.",25,"PG","MIL",32,1081,4.5,19.4
401,"Kevon Looney",29,"C","NOP",18,251,7.7,7.5
51,"Keyonte George",22,"PG","UTA",48,1629,3.6,25.2
435,"Khaman Maluach",19,"C","PHO",26,137,6.8,12.4
212,"Khris Middleton",34,"SF","2TM",40,975,4.5,16.2
159,"Klay Thompson",35,"SF","DAL",53,1169,3.4,18.8
343,"Kobe Brown",26,"PF","2TM",41,485,4.8,12.3
203,"Kobe Sanders",23,"SG","LAC",48,1017,3.5,11.8
17,"Kon Knueppel",20,"SF","CHO",59,1884,4.8,21.9
55,"Kris Dunn",31,"PG","LAC",58,1613,3,10.2
214,"Kris Murray",25,"SF","POR",38,962,3.1,9
353,"Kristaps Porziņģis",30,"C","2TM",18,430,5.6,25.4
341,"Kyle Anderson",32,"SF","2TM",24,490,4.3,13.2
133,"Kyle Filipowski",22,"C","UTA",58,1286,7.8,16.2
98,"Kyle Kuzma",30,"PF","MIL",54,1436,5.4,17.5
115,"Kyshawn George",22,"SF","WAS",46,1354,5.3,18.1
108,"LaMelo Ball",24,"PG","CHO",50,1377,5.2,25.3
439,"Lachlan Olbrich",22,"C","CHI",18,124,7.5,7
266,"Landry Shamet",28,"SG","NYK",34,756,2.2,15.9
381,"Larry Nance Jr.",33,"PF","CLE",27,342,5.1,9.4
94,"Lauri Markkanen",28,"PF","UTA",42,1443,5.1,28
117,"LeBron James",41,"SF","LAL",40,1334,5.4,23.2
437,"Leonard Miller",22,"SF","2TM",24,135,6.9,17.3
380,"Liam McNeeley",20,"SF","CHO",28,342,5.2,12.1
414,"Lindy Waters III",28,"SG","SAS",29,198,3.5,10.9
